sample,n,age,female,male,BA_plus,HS_grad,no_HS,some_college,asian,black,hispanic,other,white,midwest,northeast,south,west
full,1000,5,64,56,51,24,16,29,9,15,31,7,58,31,16,45,28
,,6,49,52,32,29,11,29,5,16,18,9,53,22,19,34,26
,,7,79,61,35,38,18,49,5,21,39,5,70,35,26,47,32
,,8,71,60,34,28,19,50,3,17,34,11,66,27,27,45,32
,,9,64,62,44,25,14,43,9,22,30,11,54,30,21,52,23
,,10,80,58,43,37,24,34,2,23,32,5,76,30,24,52,32
,,11,63,70,39,32,22,40,12,14,40,6,61,24,26,50,33
,,12,54,57,33,34,9,35,3,18,28,10,52,19,14,42,36
60_perc,704,5,44,36,33,16,11,20,7,11,21,6,35,21,13,28,18
,,6,35,38,22,20,9,22,4,12,14,8,35,18,14,22,19
,,7,53,40,22,26,14,31,4,15,26,3,45,21,20,30,22
,,8,49,46,26,20,16,33,3,14,25,9,44,21,20,32,22
,,9,49,47,33,21,12,30,9,17,22,10,38,22,18,39,17
,,10,54,40,30,24,18,22,2,16,23,4,49,21,18,32,23
,,11,44,50,28,22,16,28,10,12,26,5,41,16,20,34,24
,,12,37,42,22,25,7,25,3,13,23,7,33,15,13,29,22
